Landsat Product Identifier L2,Date Acquired,Scene Cloud Cover L1,Scene Center Latitude,Scene Center Longitude
LC08_L2SP_201035_20171101_20200902_02_T1,2017/11/01,15.54,36.04335,-5.122
LC08_L2SP_201035_20171117_20200902_02_T1,2017/11/17,11.19,36.04338,-5.11027
LC08_L2SP_201035_20171203_20200902_02_T1,2017/12/03,4.69,36.04323,-5.09587
LC08_L2SP_201035_20171219_20200902_02_T1,2017/12/19,0.25,36.04302,-5.11974
LC08_L2SP_201035_20180104_20200902_02_T1,2018/01/04,25.42,36.04348,-5.12043
LC08_L2SP_201035_20180120_20200902_02_T1,2018/01/20,5.3,36.04337,-5.10818
LC08_L2SP_201035_20180205_20200902_02_T1,2018/02/05,26.64,36.04332,-5.09579
LC08_L2SP_201035_20180221_20200902_02_T1,2018/02/21,5.06,36.04318,-5.10156
LC08_L2SP_201035_20180309_20200901_02_T1,2018/03/09,43.97,36.04313,-5.0999
LC08_L2SP_201035_20180325_20200901_02_T1,2018/03/25,71.03,36.0433,-5.10666
LC08_L2SP_201035_20180410_20200901_02_T2,2018/04/10,92.54,36.04332,-5.11548
LC08_L2SP_201035_20180426_20200901_02_T1,2018/04/26,36.51,36.04326,-5.123
LC08_L2SP_201035_20180512_20201015_02_T1,2018/05/12,43.22,36.04304,-5.13186
LC08_L2SP_201035_20180528_20201015_02_T1,2018/05/28,39.69,36.04321,-5.13041
LC08_L2SP_201035_20180613_20200831_02_T1,2018/06/13,11.6,36.04305,-5.08122
LC08_L2SP_201035_20180629_20200831_02_T1,2018/06/29,4.02,36.04335,-5.08594
LC08_L2SP_201035_20180715_20200831_02_T1,2018/07/15,7.78,36.04347,-5.08252
LC08_L2SP_201035_20180731_20200831_02_T1,2018/07/31,0.46,36.0431,-5.07881
LC08_L2SP_201035_20180816_20200831_02_T1,2018/08/16,26.42,36.04345,-5.086
LC08_L2SP_201035_20180901_20200831_02_T1,2018/09/01,44.18,36.04339,-5.08724
LC08_L2SP_201035_20180917_20200830_02_T1,2018/09/17,62.49,36.04321,-5.0828
LC08_L2SP_201035_20181003_20200830_02_T1,2018/10/03,5.97,36.0435,-5.09532
LC08_L2SP_201035_20181019_20200830_02_T1,2018/10/19,71.56,36.04323,-5.10728
LC08_L2SP_201035_20181104_20200830_02_T1,2018/11/04,18.02,36.04314,-5.11158
LC08_L2SP_201035_20181120_20200830_02_T1,2018/11/20,50.84,36.04313,-5.10777
LC08_L2SP_201035_20181206_20200830_02_T1,2018/12/06,9.76,36.04336,-5.09528
LC08_L2SP_201035_20181222_20200830_02_T1,2018/12/22,5.33,36.04301,-5.09075
LC08_L2SP_201035_20190107_20200830_02_T1,2019/01/07,1.0,36.04325,-5.09177
LC08_L2SP_201035_20190123_20200829_02_T1,2019/01/23,50.48,36.04316,-5.0857
LC08_L2SP_201035_20190208_20200829_02_T1,2019/02/08,7.38,36.04325,-5.0888
LC08_L2SP_201035_20190224_20200829_02_T1,2019/02/24,17.64,36.04325,-5.09405
LC08_L2SP_201035_20190312_20200829_02_T1,2019/03/12,13.6,36.04339,-5.09356
LC08_L2SP_201035_20190328_20200829_02_T1,2019/03/28,19.78,36.04338,-5.10737
LC08_L2SP_201035_20190413_20200829_02_T1,2019/04/13,2.4,36.04314,-5.11896
LC08_L2SP_201035_20190429_20200828_02_T1,2019/04/29,26.48,36.04339,-5.09312
LC08_L2SP_201035_20190515_20200828_02_T1,2019/05/15,1.12,36.04343,-5.10119
LC08_L2SP_201035_20190531_20200828_02_T1,2019/05/31,10.16,36.04323,-5.10779
LC08_L2SP_201035_20190616_20200828_02_T1,2019/06/16,64.13,36.04335,-5.1061
LC08_L2SP_201035_20190702_20200827_02_T1,2019/07/02,4.16,36.04334,-5.09745
LC08_L2SP_201035_20190718_20200827_02_T1,2019/07/18,0.47,36.04345,-5.08164
LC08_L2SP_201035_20190803_20200827_02_T1,2019/08/03,5.88,36.04331,-5.08711
LC08_L2SP_201035_20190819_20200827_02_T1,2019/08/19,5.4,36.04318,-5.08765
LC08_L2SP_201035_20190904_20200826_02_T1,2019/09/04,32.87,36.04312,-5.08409
LC08_L2SP_201035_20190920_20200826_02_T1,2019/09/20,86.39,36.04314,-5.09556
LC08_L2SP_201035_20191006_20200825_02_T1,2019/10/06,5.13,36.04309,-5.10405
LC08_L2SP_201035_20191022_20200825_02_T1,2019/10/22,58.02,36.04301,-5.10614
LC08_L2SP_201035_20191107_20200825_02_T1,2019/11/07,41.81,36.04316,-5.1003
LC08_L2SP_201035_20191123_20200825_02_T1,2019/11/23,38.85,36.0432,-5.08885
LC08_L2SP_201035_20191209_20200824_02_T1,2019/12/09,42.45,36.04336,-5.09375
LC08_L2SP_201035_20191225_20200824_02_T1,2019/12/25,36.41,36.04329,-5.0908
LC08_L2SP_201035_20200110_20200824_02_T1,2020/01/10,28.09,36.04305,-5.08955
LC08_L2SP_201035_20200126_20200823_02_T1,2020/01/26,11.02,36.04318,-5.09135
LC08_L2SP_201035_20200211_20200823_02_T1,2020/02/11,9.98,36.04344,-5.09616
LC08_L2SP_201035_20200227_20200822_02_T1,2020/02/27,0.16,36.04333,-5.10766
LC08_L2SP_201035_20200314_20200822_02_T1,2020/03/14,56.19,36.04328,-5.11316
LC08_L2SP_201035_20200330_20200822_02_T1,2020/03/30,58.95,36.04306,-5.11341
LC08_L2SP_201035_20200415_20200822_02_T1,2020/04/15,67.11,36.04336,-5.12633
LC08_L2SP_201035_20200501_20200820_02_T1,2020/05/01,0.06,36.04334,-5.13842
LC08_L2SP_201035_20200517_20200820_02_T1,2020/05/17,9.67,36.04337,-5.09807
LC08_L2SP_201035_20200602_20200824_02_T1,2020/06/02,64.05,36.04307,-5.08693
LC08_L2SP_201035_20200618_20200823_02_T1,2020/06/18,18.14,36.04321,-5.09591
